"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_subtract_invalid[invalid_numbers1]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","1","test_multiply_boundary[boundary_numbers2]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","1","test_add_invalid[invalid_numbers3]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_multiply_boundary[boundary_numbers0]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_divide_boundary[boundary_numbers3]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_divide_valid[valid_numbers0]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_multiply_valid[valid_numbers3]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","1","test_subtract_boundary[boundary_numbers5]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_subtract_invalid[invalid_numbers0]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_multiply_invalid[invalid_numbers1]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_add_invalid[invalid_numbers0]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_add_invalid[invalid_numbers2]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_subtract_boundary[boundary_numbers0]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_divide_invalid[invalid_numbers1]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_divide_valid[valid_numbers1]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_multiply_invalid[invalid_numbers0]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_multiply_invalid[invalid_numbers2]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_divide_invalid[invalid_numbers0]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_add_valid[valid_numbers3]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_divide_valid[valid_numbers3]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_add_boundary[boundary_numbers3]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","1","test_subtract_boundary[boundary_numbers1]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_add_boundary[boundary_numbers5]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_subtract_invalid[invalid_numbers3]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_subtract_boundary[boundary_numbers3]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_subtract_valid[valid_numbers0]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","1","test_divide_valid[valid_numbers2]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","1","test_multiply_valid[valid_numbers2]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_subtract_valid[valid_numbers2]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_divide_boundary[boundary_numbers2]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_multiply_valid[valid_numbers1]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_multiply_valid[valid_numbers0]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_multiply_boundary[boundary_numbers4]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_multiply_invalid[invalid_numbers3]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_subtract_valid[valid_numbers1]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_divide_boundary[boundary_numbers4]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_multiply_boundary[boundary_numbers1]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_add_boundary[boundary_numbers1]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_divide_boundary[boundary_numbers0]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_add_valid[valid_numbers2]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_subtract_boundary[boundary_numbers2]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","1","test_add_valid[valid_numbers0]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","1","test_multiply_boundary[boundary_numbers5]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_add_valid[valid_numbers1]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_add_invalid[invalid_numbers1]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
"","0","test_divide_invalid[invalid_numbers2]","","Mon Jun 09 20:41:25 GMT 2025","passed","Mon Jun 09 20:41:25 GMT 2025","","test_calculator","",""
